coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.678220651650197, 40.44426481662303 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-411,False,False,Avenida de América
" -3.678220651650197, 40.44426481662303 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-510,False,False,Núñez de Balboa
" -3.6801282562882505, 40.42293825869698 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-204,False,False,Príncipe de Vergara
" -3.6785854582722304, 40.41838874804179 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-913,False,False,Ibiza
" -3.669523455578141, 40.41506318581949 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-612,True,True,Sainz de Baranda
" -3.6617915330011224, 40.41146804102253 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-915,False,False,Estrella
" -3.6527397668456545, 40.41024020995498 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-916,False,False,Vinateros
" -3.6418137462853575, 40.40522025828109 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-917,False,False,Artilleros
" -3.6351227460093765, 40.40050941790844 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-918,False,False,Pavones
" -3.6215666770605437, 40.40004253874335 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-919,True,True,Valdebernardo
" -3.78399891339169, 40.39708229442025 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5313,False,True,José Isbert
" -3.7955757686710463, 40.39454375022683 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5314,False,True,Ciudad del Cine
" -3.803863391333755, 40.39687382679988 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5315,False,True,Cocheras
" -3.8167531164343904, 40.39871142954957 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5316,False,True,Retamares
" -3.8167531164343904, 40.39871142954957 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5318,True,True,Montepríncipe
" -3.8381200141598604, 40.39419815503486 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5319,False,True,Ventorro del Cano
" -3.8477451022295583, 40.39501087255144 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5320,False,True,Prado del Espino
" -3.8643981079696768, 40.39528397548309 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5322,False,True,Cantabria
" -3.8793905680938137, 40.40195470715404 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5324,False,True,Ferial de Boadilla
" -3.880047183721374, 40.4071298858456 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5325,False,True,Boadilla Centro
" -3.587529851420831, 40.457788368783184 ",True,linea-5,https://www.metromadrid.es/es/linea/linea-5#estacion-552,True,True,Alameda de Osuna
" -3.6234033337323037, 40.550374439557125 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1060,True,True,Reyes Católicos
" -3.635133826137124, 40.55441858507977 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1059,True,True,Baunatal
" -3.646883386851369, 40.55047958861559 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1058,True,True,Manuel de Falla
" -3.646883386851369, 40.55047958861559 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1057,True,True,Marqués de la Valdavia
" -3.635571004361775, 40.53194806540319 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1056,True,True,La Moraleja
" -3.658599532025724, 40.527593933186594 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1055,True,True,La Granja
" -3.658599532025724, 40.527593933186594 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1054,True,True,Ronda de la Comunicación
" -3.669446787174648, 40.50832462832863 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1053,True,True,Las Tablas
